"42",3,"forest","Evergreen Forest","#1C6330","5426"
"43",93,"forest","Mixed Forest","#B5C98E","5426"
"52",80,"shrubland","Scrub/Shrub","#CCBA7C","5426"
"71",75,"herbaceous","Grassland/Herbaceous","#E2E2C1","5426"
"81",2026,"planted","Pasture/Hay","#DBD83D","5426"
"82",14713,"planted","Cultivated Crops","#AA7028","5426"
"90",1855,"wetlands","Woody Wetlands","#BAD8EA","5426"
"95",5774,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5426"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4456"
"code","n","class","description","color","llid"
"21",19,"developed","Developed, Open Space","#DDC9C9","4253"
"22",2,"developed","Developed, Low Intensity","#D89382","4253"
"41",197,"forest","Deciduous Forest","#68AA63","4253"
"43",29,"forest","Mixed Forest","#B5C98E","4253"
"71",4,"herbaceous","Grassland/Herbaceous","#E2E2C1","4253"
"81",240,"planted","Pasture/Hay","#DBD83D","4253"
"82",280,"planted","Cultivated Crops","#AA7028","4253"
"90",524,"wetlands","Woody Wetlands","#BAD8EA","4253"
"95",74,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4253"
"code","n","class","description","color","llid"
"21",2646,"developed","Developed, Open Space","#DDC9C9","5333"
"22",963,"developed","Developed, Low Intensity","#D89382","5333"
"23",308,"developed","Developed, Medium Intensity","#ED0000","5333"
"24",100,"developed","Developed, High Intensity","#AA0000","5333"
"31",11,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","5333"
"41",16674,"forest","Deciduous Forest","#68AA63","5333"
"42",1080,"forest","Evergreen Forest","#1C6330","5333"
"43",1597,"forest","Mixed Forest","#B5C98E","5333"
"52",4,"shrubland","Scrub/Shrub","#CCBA7C","5333"
"71",68,"herbaceous","Grassland/Herbaceous","#E2E2C1","5333"
"81",1648,"planted","Pasture/Hay","#DBD83D","5333"
"82",14715,"planted","Cultivated Crops","#AA7028","5333"
"90",13049,"wetlands","Woody Wetlands","#BAD8EA","5333"
"95",276,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5333"
"code","n","class","description","color","llid"
"21",7,"developed","Developed, Open Space","#DDC9C9","4434"
"22",2,"developed","Developed, Low Intensity","#D89382","4434"
"41",14,"forest","Deciduous Forest","#68AA63","4434"
"43",4,"forest","Mixed Forest","#B5C98E","4434"
"81",116,"planted","Pasture/Hay","#DBD83D","4434"
"82",32,"planted","Cultivated Crops","#AA7028","4434"
"90",653,"wetlands","Woody Wetlands","#BAD8EA","4434"
"95",45,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4434"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4300"
"code","n","class","description","color","llid"
"21",20,"developed","Developed, Open Space","#DDC9C9","4428"
"22",6,"developed","Developed, Low Intensity","#D89382","4428"
"41",21,"forest","Deciduous Forest","#68AA63","4428"
"43",10,"forest","Mixed Forest","#B5C98E","4428"
"81",123,"planted","Pasture/Hay","#DBD83D","4428"
"82",119,"planted","Cultivated Crops","#AA7028","4428"
"90",4,"wetlands","Woody Wetlands","#BAD8EA","4428"
"code","n","class","description","color","llid"
"21",3154,"developed","Developed, Open Space","#DDC9C9","2737"
"22",1045,"developed","Developed, Low Intensity","#D89382","2737"
"23",288,"developed","Developed, Medium Intensity","#ED0000","2737"
"24",117,"developed","Developed, High Intensity","#AA0000","2737"
"31",11,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2737"
"41",20247,"forest","Deciduous Forest","#68AA63","2737"
"42",707,"forest","Evergreen Forest","#1C6330","2737"
"43",2122,"forest","Mixed Forest","#B5C98E","2737"
"71",24,"herbaceous","Grassland/Herbaceous","#E2E2C1","2737"
"81",2680,"planted","Pasture/Hay","#DBD83D","2737"
"82",20097,"planted","Cultivated Crops","#AA7028","2737"
"90",15808,"wetlands","Woody Wetlands","#BAD8EA","2737"
"95",1585,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2737"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"698"
"code","n","class","description","color","llid"
"21",57,"developed","Developed, Open Space","#DDC9C9","4818"
"22",17,"developed","Developed, Low Intensity","#D89382","4818"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4818"
"24",1,"developed","Developed, High Intensity","#AA0000","4818"
"41",315,"forest","Deciduous Forest","#68AA63","4818"
"43",112,"forest","Mixed Forest","#B5C98E","4818"
"52",2,"shrubland","Scrub/Shrub","#CCBA7C","4818"
"71",5,"herbaceous","Grassland/Herbaceous","#E2E2C1","4818"
"81",691,"planted","Pasture/Hay","#DBD83D","4818"
"90",1015,"wetlands","Woody Wetlands","#BAD8EA","4818"
"95",5,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4818"
"code","n","class","description","color","llid"
"21",130,"developed","Developed, Open Space","#DDC9C9","4644"
"22",69,"developed","Developed, Low Intensity","#D89382","4644"
"23",8,"developed","Developed, Medium Intensity","#ED0000","4644"
"41",462,"forest","Deciduous Forest","#68AA63","4644"
"81",432,"planted","Pasture/Hay","#DBD83D","4644"
"82",2320,"planted","Cultivated Crops","#AA7028","4644"
"90",165,"wetlands","Woody Wetlands","#BAD8EA","4644"
"95",326,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4644"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"858"
"code","n","class","description","color","llid"
