"code","n","class","description","color","llid"
"95",1074,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5204"
"code","n","class","description","color","llid"
"41",61,"forest","Deciduous Forest","#68AA63","4477"
"81",47,"planted","Pasture/Hay","#DBD83D","4477"
"82",42,"planted","Cultivated Crops","#AA7028","4477"
"90",85,"wetlands","Woody Wetlands","#BAD8EA","4477"
"code","n","class","description","color","llid"
"21",23,"developed","Developed, Open Space","#DDC9C9","1889"
"22",92,"developed","Developed, Low Intensity","#D89382","1889"
"23",35,"developed","Developed, Medium Intensity","#ED0000","1889"
"24",28,"developed","Developed, High Intensity","#AA0000","1889"
"41",111,"forest","Deciduous Forest","#68AA63","1889"
"81",33,"planted","Pasture/Hay","#DBD83D","1889"
"82",35,"planted","Cultivated Crops","#AA7028","1889"
"90",175,"wetlands","Woody Wetlands","#BAD8EA","1889"
"95",39,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1889"
"code","n","class","description","color","llid"
"21",51,"developed","Developed, Open Space","#DDC9C9","1078"
"22",34,"developed","Developed, Low Intensity","#D89382","1078"
"23",1,"developed","Developed, Medium Intensity","#ED0000","1078"
"41",24,"forest","Deciduous Forest","#68AA63","1078"
"52",4,"shrubland","Scrub/Shrub","#CCBA7C","1078"
"71",5,"herbaceous","Grassland/Herbaceous","#E2E2C1","1078"
"81",128,"planted","Pasture/Hay","#DBD83D","1078"
"82",148,"planted","Cultivated Crops","#AA7028","1078"
"90",169,"wetlands","Woody Wetlands","#BAD8EA","1078"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1078"
"code","n","class","description","color","llid"
"41",94,"forest","Deciduous Forest","#68AA63","510"
"82",33,"planted","Cultivated Crops","#AA7028","510"
"90",97,"wetlands","Woody Wetlands","#BAD8EA","510"
"code","n","class","description","color","llid"
"21",481,"developed","Developed, Open Space","#DDC9C9","5426"
"22",421,"developed","Developed, Low Intensity","#D89382","5426"
"23",66,"developed","Developed, Medium Intensity","#ED0000","5426"
"24",3,"developed","Developed, High Intensity","#AA0000","5426"
"41",815,"forest","Deciduous Forest","#68AA63","5426"
"42",14,"forest","Evergreen Forest","#1C6330","5426"
"43",118,"forest","Mixed Forest","#B5C98E","5426"
"52",15,"shrubland","Scrub/Shrub","#CCBA7C","5426"
"71",25,"herbaceous","Grassland/Herbaceous","#E2E2C1","5426"
"81",226,"planted","Pasture/Hay","#DBD83D","5426"
"82",259,"planted","Cultivated Crops","#AA7028","5426"
"90",1213,"wetlands","Woody Wetlands","#BAD8EA","5426"
"95",573,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5426"
"code","n","class","description","color","llid"
"21",20,"developed","Developed, Open Space","#DDC9C9","4456"
"22",11,"developed","Developed, Low Intensity","#D89382","4456"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4456"
"41",168,"forest","Deciduous Forest","#68AA63","4456"
"43",27,"forest","Mixed Forest","#B5C98E","4456"
"82",52,"planted","Cultivated Crops","#AA7028","4456"
"90",37,"wetlands","Woody Wetlands","#BAD8EA","4456"
"code","n","class","description","color","llid"
"21",61,"developed","Developed, Open Space","#DDC9C9","4253"
"22",12,"developed","Developed, Low Intensity","#D89382","4253"
"41",45,"forest","Deciduous Forest","#68AA63","4253"
"43",7,"forest","Mixed Forest","#B5C98E","4253"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","4253"
"71",8,"herbaceous","Grassland/Herbaceous","#E2E2C1","4253"
"82",28,"planted","Cultivated Crops","#AA7028","4253"
"90",205,"wetlands","Woody Wetlands","#BAD8EA","4253"
"code","n","class","description","color","llid"
"21",78,"developed","Developed, Open Space","#DDC9C9","5333"
"22",114,"developed","Developed, Low Intensity","#D89382","5333"
"23",49,"developed","Developed, Medium Intensity","#ED0000","5333"
"24",16,"developed","Developed, High Intensity","#AA0000","5333"
"41",35,"forest","Deciduous Forest","#68AA63","5333"
"42",21,"forest","Evergreen Forest","#1C6330","5333"
"43",14,"forest","Mixed Forest","#B5C98E","5333"
"81",185,"planted","Pasture/Hay","#DBD83D","5333"
"82",176,"planted","Cultivated Crops","#AA7028","5333"
"90",130,"wetlands","Woody Wetlands","#BAD8EA","5333"
"95",15,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5333"
"code","n","class","description","color","llid"
"21",95,"developed","Developed, Open Space","#DDC9C9","4434"
"22",72,"developed","Developed, Low Intensity","#D89382","4434"
"23",12,"developed","Developed, Medium Intensity","#ED0000","4434"
"24",4,"developed","Developed, High Intensity","#AA0000","4434"
"41",81,"forest","Deciduous Forest","#68AA63","4434"
"43",9,"forest","Mixed Forest","#B5C98E","4434"
"71",10,"herbaceous","Grassland/Herbaceous","#E2E2C1","4434"
"81",303,"planted","Pasture/Hay","#DBD83D","4434"
"90",812,"wetlands","Woody Wetlands","#BAD8EA","4434"
"95",165,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4434"
"code","n","class","description","color","llid"
"21",67,"developed","Developed, Open Space","#DDC9C9","4300"
